cpu_usage,ram_usage,runtime_hours,hour,day_of_week,workload_type,future_cpu
25,64,7,3,2,machine_learning,27.646487402078055
71,22,13,16,0,database,73.09560279473051
69,23,22,3,3,database,58.95913800594691
86,41,6,5,3,database,87.86075926582254
89,31,6,7,6,batch,87.24199603325818
15,87,3,9,2,database,12.561567283858087
40,78,20,8,6,batch,45.91132376834946
93,31,4,12,4,analytics,95.3694784378481
86,90,22,3,0,web,89.0017356572573
24,86,17,23,1,database,25.13673796496276
68,22,7,4,0,batch,72.59761009332279
70,25,23,1,5,web,85.51354055279573
91,22,11,20,5,analytics,79.79197729475133
64,90,8,18,3,analytics,60.981427919053914
62,61,1,19,0,web,78.20645673529
53,84,2,15,0,database,49.57323808235311
87,66,8,7,2,analytics,70.6245225062176
74,51,19,10,6,web,76.60011309005233
94,49,23,23,5,machine_learning,90.43005860624199
46,73,19,21,0,machine_learning,41.07816647433661
30,75,8,18,6,database,16.869974381121096
26,15,19,23,5,web,32.988131395758
77,58,11,3,1,analytics,65.06184970672109
61,67,17,8,3,analytics,52.29344410376757
37,10,10,17,0,batch,26.76503603317724
81,89,18,3,5,web,83.59245622577248
34,43,3,23,5,analytics,24.81846888147466
82,35,20,7,1,machine_learning,77.55566270739652
67,36,16,16,6,batch,60.026575369304915
85,62,12,14,1,batch,81.93047664335212
13,57,23,15,0,web,20.632110526778455
75,39,3,20,0,database,76.81206919737609
71,47,15,13,3,analytics,73.04042679111662
30,14,6,16,2,database,40.10965342123735
27,30,3,21,6,web,20.229472180274115
49,19,20,16,6,batch,55.51335586665881
62,64,5,23,2,machine_learning,56.275865445933434
78,82,16,1,0,analytics,85.09624817706325
85,48,13,7,6,batch,97.11825636955324
63,82,7,20,6,analytics,63.18663606917742
10,74,10,21,1,analytics,6.259205276040032
88,90,22,5,2,analytics,77.702691451326
26,22,17,5,0,database,14.82305451909607
15,44,14,13,6,analytics,16.835225982651476
36,22,17,20,2,analytics,27.35090309761871
15,78,22,16,6,web,10.921546454472939
29,15,6,17,1,analytics,29.27552809364673
26,23,14,12,6,web,18.2981394777231
72,44,17,2,2,batch,70.34710976243163
44,41,16,11,4,web,51.29986711637932
74,41,4,12,5,machine_learning,72.86965549435124
23,46,16,14,6,machine_learning,26.729522738776957
25,71,4,12,1,web,10.963663169069838
75,40,3,21,6,web,77.82838290558941
66,89,3,9,5,web,63.95255550664197
78,48,2,10,5,machine_learning,79.87219563482519
13,32,6,9,1,machine_learning,11.011771055404406
82,83,20,5,2,machine_learning,92.00763579381479
26,13,4,16,0,batch,27.809830564672694
14,41,22,23,5,batch,5.425145582140171
86,12,9,11,6,batch,84.61376566580883
27,82,23,9,2,database,25.427823044580933
39,34,2,12,6,web,46.59338965142138
83,87,10,13,1,database,91.66618594772973
87,57,2,9,2,database,82.46874605630012
20,30,22,12,6,batch,17.01070337388664
85,51,18,21,2,machine_learning,80.9418287152495
25,27,3,20,2,batch,23.54065491568369
56,57,10,11,3,web,56.248607735000114
13,11,15,7,6,analytics,13.316724238223593
21,22,11,16,6,web,12.157948630795472
90,45,21,7,4,analytics,91.13428336368216
39,32,16,13,1,analytics,34.968644229005896
61,46,3,14,3,analytics,65.0137519442216
30,73,5,22,3,analytics,44.743224386437205
29,34,6,3,1,analytics,42.58474325066987
63,39,13,18,6,analytics,56.079428582630975
22,52,22,3,5,machine_learning,11.886846919778703
28,47,6,19,6,database,19.252507343228707
29,18,4,17,1,database,30.028431387120524
46,31,4,11,1,batch,43.00974715847177
51,18,10,6,3,analytics,58.143630960870155
40,62,2,19,1,analytics,54.6369616137287
75,69,24,16,5,machine_learning,74.54776093296256
20,13,7,14,1,database,16.93824966273154
90,84,1,14,3,web,95.29431563752588
33,13,12,18,1,machine_learning,38.102784852127854
49,59,11,10,4,batch,54.469379371335336
86,51,15,4,5,database,85.55642110308966
31,66,20,17,2,analytics,33.937361281867474
49,82,12,8,1,web,39.12326043372609
57,29,7,1,0,database,66.55650744947303
11,40,14,1,4,batch,18.365804103151145
37,33,21,9,5,web,38.57043533539484
67,85,22,23,5,machine_learning,60.617490013301314
54,45,22,13,6,web,58.82598000457115
42,54,4,19,1,database,44.3852677279242
32,25,5,3,4,batch,41.70086589936365
25,90,13,22,5,web,38.87865512981782
80,55,15,11,0,analytics,73.91848440830331
87,88,11,0,4,web,89.29706683298389
26,63,23,7,4,batch,26.636782899008292
38,79,22,1,4,database,42.43246216892726
81,10,20,11,6,analytics,80.47588392753015
25,29,14,2,0,machine_learning,27.622889126006207
62,10,17,1,4,machine_learning,64.17112784798158
42,12,3,4,2,batch,50.45754399187933
85,29,9,6,3,web,85.94307604882684
69,66,22,19,6,analytics,67.62919205757105
95,52,19,7,3,analytics,100.0
35,32,11,12,3,batch,56.47476593938649
29,65,19,15,6,database,28.80818158001629
35,51,11,5,1,batch,38.5301722761735
28,73,6,13,3,batch,35.31017297108468
81,68,20,21,6,database,68.63416170647413
70,77,12,5,5,batch,73.69610647943428
55,62,24,15,0,analytics,53.63818486726605
63,66,20,21,3,analytics,74.40715799699672
20,63,9,22,4,machine_learning,15.367637310654803
37,66,22,18,0,machine_learning,26.99443149609419
26,76,16,13,5,web,26.175550465722658
54,88,14,23,0,web,39.648860017056876
73,47,23,9,6,analytics,62.156419975101684
91,50,10,9,0,database,100.0
61,42,1,11,4,batch,75.45757314910308
43,13,17,3,2,web,35.06671645893068
82,70,3,7,4,machine_learning,87.51545256412106
45,59,20,10,2,batch,36.27096770237747
38,25,3,14,2,web,40.3029271865825
40,13,5,16,6,batch,49.619821981224064
75,21,4,17,1,batch,77.53717587768381
80,10,23,12,5,analytics,83.48780311600036
39,51,1,9,4,analytics,18.742031318242518
36,48,9,21,4,web,20.548985113655693
61,53,22,17,2,machine_learning,67.96199195129049
91,47,5,0,3,batch,93.6067268171834
31,75,12,5,1,database,40.66678254058851
66,64,16,13,6,database,55.24764297222525
18,67,13,21,4,database,22.042612000624523
51,62,10,6,1,analytics,50.10792938285645
92,19,15,2,5,batch,85.5602681531795
47,86,19,2,6,web,46.06887469711379
94,76,13,7,6,batch,82.8608837777305
76,18,14,12,4,analytics,92.82938482449376
19,89,14,7,0,database,23.771176552941228
59,21,17,13,5,database,53.26387080697651
15,78,11,17,5,batch,5.0
52,87,18,18,2,analytics,48.23470910617758
77,55,2,15,2,web,88.60154104507751
17,15,16,23,6,machine_learning,5.849351649496617
29,75,10,22,4,database,24.470971291139456
56,72,12,14,4,machine_learning,48.820067494662325
28,44,7,20,1,batch,17.50254017977774
53,74,19,10,6,analytics,51.63759227591499
91,85,23,0,2,batch,91.3164860660365
61,58,5,2,1,web,56.59505178718296
63,31,16,15,2,analytics,79.62141706335555
54,55,8,11,6,web,49.34574373286357
32,39,13,10,1,batch,22.60896028472822
30,66,7,22,2,database,18.824527268256325
56,49,19,9,6,batch,58.70958695071348
57,15,9,20,4,machine_learning,46.60643585350132
86,58,23,19,4,analytics,83.00752280326972
26,37,9,1,0,analytics,19.51548232299708
47,15,13,10,5,batch,33.111233931212006
49,12,23,20,2,machine_learning,41.88518405536634
44,71,1,3,0,analytics,55.02627274898139
58,25,2,18,6,analytics,70.47038455598312
82,10,10,18,0,batch,78.49003263961366
89,64,18,1,0,machine_learning,100.0
79,57,11,6,6,machine_learning,89.65071249590723
19,39,20,17,3,machine_learning,6.288421736671124
18,35,4,16,6,database,29.84087033563692
61,78,23,4,3,batch,62.42227883063168
22,13,10,12,1,analytics,23.134088284628458
17,76,16,13,0,analytics,13.857582427846504
83,82,20,6,1,analytics,72.0967086932002
32,49,7,20,6,web,19.677300055028837
40,59,20,11,6,analytics,28.849653068239814
11,34,13,6,3,database,11.177631476341093
91,84,22,19,4,machine_learning,79.31260049078674
95,68,19,14,5,batch,95.87526079216046
24,64,3,22,5,web,24.606074745587037
92,16,19,16,0,database,89.86298931247445
81,89,20,18,1,batch,84.70508219392808
72,54,13,6,2,database,66.39477876524356
15,38,23,16,5,machine_learning,22.06118461610496
35,37,3,10,5,batch,34.88516426748681
63,65,7,7,2,analytics,61.959018962480904
95,68,7,8,4,web,100.0
44,12,22,12,6,web,50.9785230402276
10,89,6,6,3,batch,14.037698925204488
42,59,4,4,0,machine_learning,38.15234023667109
90,57,5,15,2,batch,85.25542292454216
23,72,16,16,3,web,25.51765046043575
32,59,22,13,1,web,40.52137572571509
71,56,13,8,1,batch,82.62093396388943
41,22,1,1,5,analytics,42.51077085704731
91,80,23,5,5,analytics,77.60651440948877
63,11,17,4,5,batch,63.71131460650463
94,70,21,21,2,web,100.0
25,59,17,10,0,analytics,26.61861451907313
78,78,20,15,2,database,82.33671939840299
46,82,5,9,0,database,47.03147352998252
64,38,6,13,0,machine_learning,56.437978735380185
80,74,1,0,3,machine_learning,62.58347962845716
68,41,1,9,0,batch,69.42781331108311
69,79,16,1,6,web,62.26935070552819
22,65,18,21,4,database,29.4699223402987
52,48,10,16,6,database,57.63341697984909
67,77,3,6,1,machine_learning,75.96891903959295
16,49,6,21,1,machine_learning,17.806092184894034
38,30,14,8,2,web,38.140906015469255
51,60,24,18,5,web,59.014598829455494
63,33,15,6,2,database,59.01943329291834
64,69,3,21,2,database,63.87265723998206
51,74,16,17,6,database,58.328082558328724
26,47,14,22,0,machine_learning,18.129648658473425
53,44,18,0,3,database,60.92638470681766
79,46,1,18,0,analytics,83.68932640314226
70,63,8,15,3,web,66.70068945426816
83,73,11,16,0,database,83.6972315230574
55,77,14,13,6,machine_learning,74.91568865008554
11,19,18,16,4,batch,14.823551018671253
93,10,22,14,4,database,100.0
79,27,6,12,0,machine_learning,75.93746248309625
64,73,5,1,6,analytics,63.01016842980131
89,47,23,15,5,machine_learning,100.0
38,43,1,8,0,batch,36.97620291577188
67,41,18,10,6,batch,68.9824902361162
15,19,7,1,5,web,25.265122442384644
30,69,17,0,1,web,30.578908087926376
73,85,24,15,0,batch,74.7163467596557
37,90,14,17,1,batch,34.376464637861126
31,72,1,10,1,web,37.40864771030549
57,52,21,5,0,database,52.71062266700808
66,11,24,8,3,analytics,63.88769790404479
26,59,16,7,1,database,28.556197366263643
33,83,13,16,1,analytics,46.22893814793828
93,54,18,16,0,machine_learning,93.00568097252771
18,86,15,14,3,batch,16.596409362163918
28,61,14,16,1,analytics,24.521800562131187
51,28,17,11,0,database,54.699722446421205
58,65,3,10,0,web,54.85557794350879
16,55,14,3,4,web,24.01305460166848
58,34,10,21,1,database,49.75875093229124
89,80,9,13,2,web,100.0
87,80,1,12,3,machine_learning,79.92673216044986
53,42,13,13,5,web,32.2926669423664
35,30,16,3,1,machine_learning,34.75647734797787
32,90,16,1,3,analytics,31.180625871864162
68,55,3,22,3,web,74.26789057273682
43,53,14,5,4,batch,46.540993513866766
31,27,12,19,2,web,18.475004348884383
15,36,21,10,4,batch,23.207343885754224
78,20,15,2,1,batch,84.58555282154309
24,12,6,16,1,database,29.4655272829225
81,30,11,5,1,analytics,75.14694608873178
21,47,12,22,5,machine_learning,36.12352548124626
50,19,17,16,2,machine_learning,52.48887992914556
13,51,13,1,1,web,5.0
95,13,18,4,2,analytics,95.61586513125724
15,17,19,10,6,machine_learning,15.992581805755949
21,82,2,7,1,database,22.9430561052022
94,17,4,9,3,machine_learning,77.34321037448811
23,63,18,20,5,analytics,7.1960978302629
16,18,1,5,5,web,22.00879563605848
53,53,10,22,5,analytics,53.234011837615
47,33,19,9,4,machine_learning,44.83778591191869
66,48,24,0,2,analytics,71.6119749449519
85,57,10,9,5,web,91.3488694962897
61,51,10,10,6,database,60.36746126508355
11,27,15,0,4,analytics,6.367007122914028
93,44,19,17,4,machine_learning,78.18525814740273
39,53,21,9,6,analytics,45.26871731838885
58,20,2,3,0,web,70.78830489677073
51,28,18,4,5,web,57.417027668944954
67,32,22,15,0,batch,65.62269508577563
17,27,16,4,1,database,10.112791132051978
92,38,3,7,2,analytics,94.10562338397408
84,37,18,12,4,machine_learning,80.6744943976835
11,16,24,11,6,web,22.697567509741095
22,14,11,9,3,analytics,25.589086116116217
50,62,14,17,6,analytics,56.10958172678438
94,79,1,3,2,web,100.0
35,70,5,22,4,web,22.031044183550563
49,86,23,15,5,database,46.394193786103294
77,89,21,9,0,analytics,56.54945706022933
63,37,24,2,4,web,64.13152410338684
86,67,14,10,1,machine_learning,100.0
81,60,10,10,0,database,72.4055569101881
92,63,19,9,3,analytics,90.93947458124083
45,76,9,20,1,web,42.01944926098841
44,72,23,1,0,batch,41.61885941582856
59,88,10,15,3,analytics,79.56856125303632
78,10,7,16,2,web,78.95678942573959
48,58,6,22,5,machine_learning,42.916615145313955
58,68,9,3,6,web,58.95437364017614
52,64,24,16,3,batch,51.46432077362288
89,66,15,12,6,machine_learning,94.54719764697509
39,45,3,21,0,web,38.286667346920254
58,85,23,20,3,machine_learning,56.00152080252603
93,88,23,15,4,analytics,95.55037352927147
88,26,18,4,4,analytics,97.55328146019566
93,61,19,12,3,web,100.0
53,77,2,1,4,database,52.85628569234275
86,78,10,9,5,database,84.36302969658924
69,60,21,7,0,batch,61.22278081437871
39,58,9,16,4,analytics,46.858555862043545
66,71,20,7,5,machine_learning,51.56389456570368
42,22,14,23,0,machine_learning,39.0445464843144
52,58,4,11,1,analytics,59.17027168104485
30,89,24,13,6,machine_learning,30.16934515531888
29,63,5,23,4,web,15.825089133657231
28,74,13,2,1,analytics,32.83673875762004
49,76,13,5,4,analytics,42.145185078977605
94,65,23,15,6,analytics,84.99156831271159
86,82,17,1,2,batch,83.43629960192285
72,71,4,18,0,machine_learning,72.19810830476642
48,80,17,6,3,analytics,43.85931158026981
27,51,19,11,1,analytics,24.613924101480738
39,84,3,22,0,database,40.41903336731574
92,85,20,0,4,batch,75.20101414224763
10,19,15,6,3,database,19.73820071912452
27,48,17,17,3,batch,27.36328938494112
80,45,18,5,2,machine_learning,87.98105661536195
44,14,14,3,6,batch,41.705646114093845
73,34,12,1,2,web,68.65125661021074
47,64,4,14,0,web,40.90323772043479
16,66,12,9,4,database,16.680976458382517
83,88,12,16,3,machine_learning,95.75962761124256
43,79,18,5,4,database,36.40573153856999
24,87,6,17,4,web,29.466083116026606
41,76,3,21,5,machine_learning,36.46791203814822
75,13,10,6,0,analytics,66.03853249050236
15,78,10,8,2,web,5.86337408724496
33,68,3,2,3,web,33.231414912492404
49,57,22,2,6,database,45.18033981242306
77,55,14,12,2,analytics,63.912089316481804
45,90,9,1,0,database,39.404121766713544
52,31,15,10,6,web,57.66848251885316
69,67,12,23,4,batch,74.45089861260244
22,83,1,7,5,web,12.770461749281132
44,12,24,4,1,analytics,51.52945493135976
43,76,8,10,4,machine_learning,44.53518188698429
75,79,9,19,0,analytics,74.38277881113515
80,48,17,12,2,web,74.87138987647425
32,79,6,1,5,analytics,24.267812792583488
81,46,17,19,0,database,97.18338631108855
